Date;Open;High;Low;Close;Volume
31.12.2019;57643,57;58132,76;55205,88;57832,88;667355068
31.01.2020;58122,41;59298,22;56371,34;56681,27;781859188
29.02.2020;56550,46;58537,34;48324,78;49276,54;830427815
31.03.2020;50300,61;52562,98;35588,11;41624,62;1703607363
30.04.2020;41146,45;46856,54;40661,03;46117;1486229350
31.05.2020;45636,86;49151,07;43996,33;48127,64;1239352262
30.06.2020;48598,87;51863,82;48350,1;49569,17;1931657502
31.07.2020;49822,43;53332,13;49248,33;50468,16;1556963875
31.08.2020;50659,32;53158,36;50637,27;51629,45;1009271890
30.09.2020;51821,39;51842,05;47763,86;49411,53;1151867501
31.10.2020;49608,46;50491,83;43679,41;44097,98;1120964589
30.11.2020;44413,22;53662,35;44413,22;52639,45;1166997164
31.12.2020;53041,8;57878,17;52816,4;57025,84;1247072457
31.01.2021;57231,39;60520,71;55301,68;56978,68;1329842412
28.02.2021;57333,63;59715,93;56330,97;56970,3;1490857700
31.03.2021;57483,39;60089,6;56230,49;58081,5;1443612447
30.04.2021;58243,34;61719,29;58095,95;60810,55;1049483214
31.05.2021;60977,56;66624,88;59868,05;66284,71;1005014673
30.06.2021;66406,98;68148,54;65203,6;66067,21;900404812
31.07.2021;66284,69;68106,25;65512,09;67637,95;699398095
31.08.2021;67943,76;71111,3;67475,15;70930,15;918017144
30.09.2021;71068,85;72244,3;68713,9;70340,86;1353290924
31.10.2021;69837,38;74968,51;69635,93;73586,32;1388059601
30.11.2021;73807,64;75018,06;65768,62;67814,89;1085835123
31.12.2021;68571,91;69367,22;65750,84;69296,26;980402677
31.01.2022;69667,28;73697,5;65673,3;67418,41;986227264
28.02.2022;67968,28;69062,32;54822,98;61141,35;1062063919
31.03.2022;61478,81;66152,28;56468,97;64900,36;1829914078
30.04.2022;65156,24;66222,27;57577,7;57754,98;929350015
31.05.2022;57632,68;57914,62;52140,5;57432,29;1024270195
30.06.2022;57485,16;57675,23;52274,01;53573,42;713681037,6
31.07.2022;53471,57;55007,36;51060,69;55007,36;844387484,4
31.08.2022;55070,99;56858,54;49747,29;50174,09;889731095,2
30.09.2022;49678,88;51638,56;45597,65;45970,64;955330725,6
31.10.2022;45840,63;50432,55;45017,5;50432,55;862596680,5
30.11.2022;50837,89;56712,7;50413,08;56058,18;1063226684
31.12.2022;56695,1;57785,23;55447,35;57462,68;738783017,8
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
